"","Region name","School status","Schools details","num_ord"
"409","Athabasca County","Outbreak (10+ cases)","Edwin Parr Composite Community School","1"
"410","Brazeau County","Outbreak (10+ cases)","Frank Maddock High School","1"
"411","City Of Airdrie","Outbreak (10+ cases)","A. E. Bowers Elementary School","1"
"412","City Of Calgary","Outbreak (10+ cases)","John G Diefenbaker High School","1"
"413","City Of Calgary","Outbreak (10+ cases)","Webber Academy","1"
"414","City Of Calgary","Outbreak (10+ cases)","Renert School","1"
"415","City Of Calgary","Outbreak (10+ cases)","St. Francis High School","1"
"416","City Of Calgary","Outbreak (10+ cases)","All Saints School","1"
"417","City Of Calgary","Outbreak (10+ cases)","Crescent Heights High School","1"
"418","City Of Calgary","Outbreak (10+ cases)","Clarence Sansom School","1"
"419","City Of Calgary","Outbreak (10+ cases)","Lester B. Pearson High School","1"
"420","City Of Calgary","Outbreak (10+ cases)","Calgary Islamic School Akram Jomaa Campus","1"
"421","City Of Calgary","Outbreak (10+ cases)","Ernest Manning High School","1"
"422","City Of Calgary","Outbreak (10+ cases)","Joane Cardinal-Schubert High School","1"
"423","City Of Calgary","Outbreak (10+ cases)","Twelve Mile Coulee School","1"
"424","City Of Calgary","Outbreak (10+ cases)","Nelson Mandela High School","1"
"425","City Of Calgary","Outbreak (10+ cases)","Western Canada High School","1"
"426","City Of Calgary","Outbreak (10+ cases)","St. Matthew School","1"
"427","City Of Calgary","Outbreak (10+ cases)","Renfrew Thomas W. Buchanan Centre","1"
"428","City Of Calgary","Outbreak (10+ cases)","William Aberhart High School","1"
"429","City Of Calgary","Outbreak (10+ cases)","Forest Lawn High School","1"
"430","City Of Calgary","Outbreak (10+ cases)","St. Basil Elementary/Junior High School","1"
"431","City Of Calgary","Outbreak (10+ cases)","Father Lacombe School","1"
"432","City Of Calgary","Outbreak (10+ cases)","Central Memorial High School","1"
"433","City Of Calgary","Outbreak (10+ cases)","Dr. E. P. Scarlett High School","1"
"434","City Of Calgary","Outbreak (10+ cases)","Notre Dame High School","1"
"435","City Of Calgary","Outbreak (10+ cases)","Robert Thirsk School","1"
"436","City Of Calgary","Outbreak (10+ cases)","Bishop Grandin High School","1"
"437","City Of Calgary","Outbreak (10+ cases)","Bowness High School","1"
"438","City Of Calgary","Outbreak (10+ cases)","St. Martha School","1"
"439","City Of Calgary","Outbreak (10+ cases)","Crossing Park School","1"
"440","City Of Calgary","Outbreak (10+ cases)","Westmount Mid/High School","1"
"441","City Of Calgary","Outbreak (10+ cases)","Bishop McNally High School","1"
"442","City Of Calgary","Outbreak (10+ cases)","Branton School","1"
"443","City Of Calgary","Outbreak (10+ cases)","Henry Wise Wood High School","1"
"444","City Of Calgary","Outbreak (10+ cases)","Peter Lougheed School","1"
"445","City Of Calgary","Outbreak (10+ cases)","Father James Whelihan","1"
"446","City Of Calgary","Outbreak (10+ cases)","Annie Gale School","1"
"447","City Of Calgary","Outbreak (10+ cases)","FFCA High School Campus","1"
"448","City Of Calgary","Outbreak (10+ cases)","F. E. Osborne School","1"
"449","City Of Calgary","Outbreak (10+ cases)","Bishop Carroll High School","1"
"450","City Of Calgary","Outbreak (10+ cases)","Sir Winston Churchill High School","1"
"451","City Of Calgary","Outbreak (10+ cases)","Fairview School","1"
"452","City Of Calgary","Outbreak (10+ cases)","Bishop O'Byrne High School","1"
"453","City Of Calgary","Outbreak (10+ cases)","Centennial High School","1"
"454","City Of Camrose","Outbreak (10+ cases)","Charlie Killam School","1"
"455","City Of Camrose","Outbreak (10+ cases)","Camrose Composite High School","1"
"456","City Of Chestermere","Outbreak (10+ cases)","Chestermere Lake Middle School","1"
"457","City Of Edmonton","Outbreak (10+ cases)","Jasper Place School","1"
"458","City Of Edmonton","Outbreak (10+ cases)","Harry Ainlay School","1"
"459","City Of Edmonton","Outbreak (10+ cases)","Parkland Immanuel Christian School","1"
"460","City Of Edmonton","Outbreak (10+ cases)","Vimy Ridge","1"
"461","City Of Fort Saskatchewan","Outbreak (10+ cases)","St. John Paul II Catholic School","1"
"462","City Of Grande Prairie","Outbreak (10+ cases)","Grande Prairie Composite High School","1"
"463","City Of Grande Prairie","Outbreak (10+ cases)","Alexander Forbes School","1"
"464","City Of Grande Prairie","Outbreak (10+ cases)","Ecole Montrose School","1"
"465","City Of Grande Prairie","Outbreak (10+ cases)","Aspen Grove School","1"
"466","City Of Grande Prairie","Outbreak (10+ cases)","Ecole Nouvelle Frontiere","1"
